Transcription,Spelling,Word,BiphonProb,Frequency,is_capital,count,repeated
AH.B.IH.Z.M.AH.L.IY,abysmally,abysmally,0.010277412,0.02,TRUE,1,
AH.B.IH.S,abyss,abyss,0.002055124,1.76,TRUE,1,
AE.B.S.IH.N.IY.AH,Abyssinia,abyssinia,0.002888728,0.16,FALSE,1,
AE.B.S.IH.N.IY.AH.N,Abyssinian,abyssinian,0.01720951,0.18,FALSE,1,
EY.S.IY,Ac,ac,0.000174931,2.16,FALSE,1,
AH.K.EY.SH.AH,acacia,acacia,0.002692421,0.16,TRUE,1,
AE.K.AH.D.IY.M,academe,academe,0.002221166,0.04,TRUE,1,
AE.K.AH.D.IY.M.IY.AH,academia,academia,0.002991946,0.24,TRUE,1,
AE.K.AH.D.EH.M.IH.K,academic,academic,0.004032798,4.67,TRUE,1,
AE.K.AH.D.EH.M.IH.K.L.IY,academically,academically,0.008245076,0.22,TRUE,1,
AE.K.AH.D.AH.M.IH.SH.AH.N,academician,academician,0.027111926,0.02,TRUE,1,
AE.K.AH.D.EH.M.IH.K.S,academics,academics,0.00395484,0.69,TRUE,1,
AH.K.AE.D.AH.M.IY.Z,academies,academies,0.004903061,0.14,TRUE,1,
AH.K.AE.D.AH.M.IY,Academy,academy,0.004386212,12.41,FALSE,1,
AH.K.EY.D.IY.AH,Acadia,acadia,0.002992202,0.06,FALSE,1,
AE.K.AH.P.UH.L.K.OW,Acapulco,acapulco,0.000908145,1.61,FALSE,1,
AE.K.S.IY.D,accede,accede,0.004404881,0.14,TRUE,1,
AE.K.S.IY.D.IH.D,acceded,acceded,0.004427603,0.02,TRUE,1,
AE.K.S.EH.L.ER.AH.N.T,accelerant,accelerant,0.022586488,0.55,TRUE,1,
AE.K.S.EH.L.ER.EY.T,accelerate,accelerate,0.004983043,1.27,TRUE,1,
AE.K.S.EH.L.ER.EY.T.IH.D,accelerated,accelerated,0.007378251,0.96,TRUE,1,
AE.K.S.EH.L.ER.EY.T.S,accelerates,accelerates,0.006714468,0.1,TRUE,1,
AE.K.S.EH.L.ER.EY.T.IH.NG,accelerating,accelerating,0.009711565,0.88,TRUE,1,
AE.K.S.EH.L.ER.EY.SH.AH.N,acceleration,acceleration,0.026699692,0.86,TRUE,1,
