Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
advised,2.428134794,3.199585155,2.25,2.5,1,0.61437196,2,,2.198079476,advised,1583.38,157.79,3.199585155,2.198079476,3.199859352,2.200823149,
aegean,NaN,2.380681473,2.75,2.75,0,NaN,1,,0.767155866,aegean,240.26,5.85,2.380681473,0.767155866,NaN,NaN,
aerial,2.113943352,2.945616279,1.9,1.7,0,0.6055516,2,,2.292610453,aerial,882.3,196.16,2.945616279,2.292610453,2.94610823,2.294818809,
aeronautical,1.113943352,2.0199052,4.7,4.45,0,0.55653465,4,,1.334654767,aeronautical,104.69,21.61,2.0199052,1.334654767,2.024033898,1.354300562,
aesthetic,1.544068044,2.415207136,2.75,2.7,0,0.59067416,3,,1.869759595,aesthetic,260.14,74.09,2.415207136,1.869759595,2.4168734,1.875582104,
afar,1.77815125,2.681033088,1.85,1.9,1,0.41954359,1,,0.465382851,afar,479.77,2.92,2.681033088,0.465382851,2.68193736,0.593286067,
affair,3.176958981,2.519893592,2.55,1.75,0,0.63076198,1,,1.873204309,affair,331.05,74.68,2.519893592,1.873204309,2.521203485,1.878981123,
affairs,2.873901598,2.749875391,2.75,1.85,0,0.64373749,2,,1.80935767,affairs,562.18,64.47,2.749875391,1.80935767,2.750647223,1.816042341,
affect,2.755112266,2.736635498,2.45,1.9,1,0.63029492,2,,2.438700533,affect,545.3,274.6,2.736635498,2.438700533,2.737431201,2.440279213,
affected,2.539076099,3.163611543,2.65,2.1,1,0.65577531,3,,2.538938006,affected,1457.51,345.89,3.163611543,2.538938006,3.163909411,2.54019178,
affection,2.635483747,3.008910879,2.65,1.95,0,0.5660376,3,,2.804507438,affection,1020.73,637.54,3.008910879,2.804507438,3.009336145,2.805188108,
affects,2.389166084,2.671015394,2.6,2.1,1,0.59258747,3,,2.167465029,affects,468.83,147.05,2.671015394,2.167465029,2.671940744,2.170408412,
affidavit,2.004321374,1.957750911,4.7,4.6,0,0.4159762,1,,1.335056519,affidavit,90.73,21.63,1.957750911,1.335056519,1.962511394,1.354684554,
affirm,1.255272505,2.533327117,2.45,1.85,0,0.45268071,2,,1.993524403,affirm,341.45,98.52,2.533327117,1.993524403,2.534597171,1.997910367,
affirmative,2.383815366,2.694745554,4,3.65,0,0.53223568,3,,2.394434169,affirmative,495.16,247.99,2.694745554,2.394434169,2.695621749,2.396181905,
afford,3.35545152,2.956706161,2.5,1.7,0,0.58137399,1,,2.623125189,afford,905.12,419.88,2.956706161,2.623125189,2.957185716,2.624158289,
afraid,4.101472117,2.524461034,2.6,1.95,0,0.58444178,1,,2.180355296,afraid,334.55,151.48,2.524461034,2.180355296,2.525757243,2.183212883,
africa,NaN,2.815245592,2.75,2.75,0,NaN,1,,2.178833117,africa,653.5,150.95,2.815245592,2.178833117,NaN,NaN,
african,2.539076099,2.598538827,2.7,2.7,0,0.66537768,2,,2.103050747,african,396.77,126.78,2.598538827,2.103050747,2.599632025,2.106462884,
aft,2.257678575,0.214843848,1.5,1.4,6,0.56392527,1,,0.004321374,aft,1.64,1.01,0.214843848,0.004321374,0.421603927,0.303196057,
after,4.54174145,3.529531729,1.85,1.8,2,0.69706839,1,,3.23098252,after,3384.79,1702.09,3.529531729,3.23098252,3.529660018,3.231237599,
afternoon,3.669037801,2.792622785,3.75,4.35,0,0.61977088,2,,2.257126358,afternoon,620.33,180.77,2.792622785,2.257126358,2.793322323,2.259522207,
afterwards,2.854306042,2.467223211,3.75,4.55,0,0.66837239,3,,1.994361152,afterwards,293.24,98.71,2.467223211,1.994361152,2.468701712,1.998738716,
again,4.606692999,3.037645582,1.95,2,0,0.69363075,1,,2.941496525,again,1090.55,873.97,3.037645582,2.941496525,3.038043634,2.941993163,
against,4.012373167,2.906248821,2.9,2.3,0,0.68421364,1,,2.79106577,against,805.84,618.11,2.906248821,2.79106577,2.906787421,2.791767819,
age,3.606381365,2.549236295,1.1,1.4,7,0.66240549,1,,2.393452355,age,354.19,247.43,2.549236295,2.393452355,2.55046073,2.395204039,
agency,2.996511672,2.574563676,2.6,2.7,0,0.65564215,2,,1.989894564,agency,375.46,97.7,2.574563676,1.989894564,2.575718838,1.994317153,
agenda,2.572871602,2.485678847,2.6,2.8,0,0.59202808,1,,1.721068302,agenda,305.97,52.61,2.485678847,1.721068302,2.487095934,1.729245807,
agent,3.718999638,2.869929551,1.9,2.35,0,0.65956289,2,,2.068185862,agent,741.19,117,2.869929551,2.068185862,2.870515099,2.071882007,
